963	\N	\N
975	\N	\N
973	\N	\N
1689	1353	\N
988	913	\N
995	920	\N
1804	1417	\N
997	\N	\N
1614	\N	\N
994	918	\N
1652	\N	\N
1000	922	\N
1004	925	\N
1002	924	\N
3593	\N	\N
1006	\N	42
998	\N	\N
1008	926	\N
1007	\N	\N
1003	\N	\N
1015	929	\N
1009	\N	116
1010	927	\N
1018	930	\N
1021	932	\N
1024	933	\N
1020	\N	\N
1022	\N	42
1776	\N	\N
1019	931	\N
1013	\N	\N
1028	\N	\N
1029	936	\N
981	906	\N
1031	937	\N
1027	935	\N
992	916	\N
1023	\N	\N
1017	\N	\N
1032	939	\N
1025	934	\N
1038	942	\N
1030	\N	\N
1035	941	\N
1576	1281	\N
1033	940	\N
1037	\N	\N
1016	\N	\N
1026	\N	\N
1653	1331	\N
1577	\N	\N
1045	\N	\N
1719	1372	\N
1056	\N	\N
1738	1377	\N
1690	\N	\N
1742	\N	\N
1070	958	\N
1067	956	\N
1060	949	\N
1080	968	\N
1739	1378	\N
1082	970	\N
1083	974	\N
1052	\N	\N
1741	1380	\N
1084	971	\N
1094	977	\N
1743	1381	\N
1087	975	\N
1092	976	\N
1777	1397	\N
3097	\N	\N
1086	973	\N
1788	\N	\N
1085	972	\N
1615	\N	144
2892	\N	\N
1050	948	\N
1076	\N	\N
1091	\N	\N
1093	\N	\N
1095	\N	\N
1090	\N	\N
1046	945	\N
1051	816	\N
1058	952	\N
1057	947	\N
1063	951	\N
1062	950	\N
1041	\N	\N
1042	\N	\N
1066	954	\N
1064	\N	\N
1073	\N	\N
1616	1309	\N
1107	987	\N
1146	1008	\N
1152	1012	\N
1100	\N	\N
1691	1356	\N
1110	990	\N
1778	1399	\N
1114	\N	\N
1828	1440	\N
1112	991	\N
1654	\N	\N
1113	992	\N
1124	\N	121
1123	\N	\N
1125	\N	122
1122	\N	\N
1119	\N	\N
1118	\N	\N
3267	2202	\N
1132	998	\N
1126	1065	\N
1127	\N	\N
1136	\N	\N
1133	999	\N
1131	1001	\N
1134	1000	\N
1138	\N	\N
1145	\N	\N
1130	996	\N
1143	\N	\N
1148	\N	\N
1149	\N	\N
1153	1013	\N
1144	1019	\N
1147	\N	\N
1099	979	\N
1103	1074	\N
1578	1282	\N
1129	995	\N
1137	1004	\N
1135	1003	\N
1150	1010	\N
1140	1006	\N
1101	\N	\N
1115	\N	\N
1579	\N	\N
1169	1026	\N
1692	1357	\N
1727	1374	\N
1779	1400	\N
1655	\N	\N
1168	\N	\N
1174	1029	\N
1176	\N	\N
1171	\N	123
1806	1419	\N
1173	1028	\N
2893	\N	\N
2576	\N	189
1170	1027	\N
1182	\N	\N
1194	1045	\N
1175	1030	\N
1167	\N	\N
1179	1033	\N
1183	\N	\N
